filename,variables,ranges,expression_infix,expression_prefix,token_types,expression_prefix_masked,constant_dict
I.6.2a,"['theta']","[(1.0,3.0)]",exp ( SUB theta POW 2 DIV 2 ) DIV sqrt ( 2 MUL pi ),DIV exp DIV POW NEG theta 2 2 sqrt MUL 2 pi,OP_DIV FUNC OP_DIV OP_POW OP_NEG VAR NUM NUM FUNC OP_MUL NUM CONST,DIV exp DIV POW NEG theta <C_0> <C_0> sqrt MUL <C_0> pi,"{'<C_0>': 2.0}"
I.6.2,"['sigma','theta']","[(1.0,3.0),(1.0,3.0)]",exp ( SUB ( theta DIV sigma ) POW 2 DIV 2 ) DIV ( sqrt ( 2 MUL pi ) MUL sigma ),DIV exp DIV POW NEG DIV theta sigma 2 2 MUL sqrt MUL 2 pi sigma,OP_DIV FUNC OP_DIV OP_POW OP_NEG OP_DIV VAR VAR NUM NUM OP_MUL FUNC OP_MUL NUM CONST VAR,DIV exp DIV POW NEG DIV theta sigma <C_0> <C_0> MUL sqrt MUL <C_0> pi sigma,"{'<C_0>': 2.0}"
I.6.2b,"['sigma','theta','theta1']","[(1.0,3.0),(1.0,3.0),(1.0,3.0)]",exp ( SUB ( ( theta SUB theta1 ) DIV sigma ) POW 2 DIV 2 ) DIV ( sqrt ( 2 MUL pi ) MUL sigma ),DIV exp DIV POW NEG DIV SUB theta theta1 sigma 2 2 MUL sqrt MUL 2 pi sigma,OP_DIV FUNC OP_DIV OP_POW OP_NEG OP_DIV OP_SUB VAR VAR VAR NUM NUM OP_MUL FUNC OP_MUL NUM CONST VAR,DIV exp DIV POW NEG DIV SUB theta theta1 sigma <C_0> <C_0> MUL sqrt MUL <C_0> pi sigma,"{'<C_0>': 2.0}"
I.8.14,"['x1','x2','y1','y2']","[(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0)]",sqrt ( ( x2 SUB x1 ) POW 2 ADD ( y2 SUB y1 ) POW 2 ),sqrt ADD POW SUB x2 x1 2 POW SUB y2 y1 2,FUNC OP_ADD OP_POW OP_SUB VAR VAR NUM OP_POW OP_SUB VAR VAR NUM,sqrt ADD POW SUB x2 x1 <C_0> POW SUB y2 y1 <C_0>,"{'<C_0>': 2.0}"
I.9.18,"['m1','m2','G','x1','x2','y1','y2','z1','z2']","[(1.0,2.0),(1.0,2.0),(1.0,2.0),(3.0,4.0),(1.0,2.0),(3.0,4.0),(1.0,2.0),(3.0,4.0),(1.0,2.0)]",G MUL m1 MUL m2 DIV ( ( x2 SUB x1 ) POW 2 ADD ( y2 SUB y1 ) POW 2 ADD ( z2 SUB z1 ) POW 2 ),DIV MUL MUL G m1 m2 ADD ADD POW SUB x2 x1 2 POW SUB y2 y1 2 POW SUB z2 z1 2,OP_DIV OP_MUL OP_MUL VAR VAR VAR OP_ADD OP_ADD OP_POW OP_SUB VAR VAR NUM OP_POW OP_SUB VAR VAR NUM OP_POW OP_SUB VAR VAR NUM,DIV MUL MUL G m1 m2 ADD ADD POW SUB x2 x1 <C_0> POW SUB y2 y1 <C_0> POW SUB z2 z1 <C_0>,"{'<C_0>': 2.0}"
I.10.7,"['m_0','v','c']","[(1.0,5.0),(1.0,2.0),(3.0,10.0)]",m_0 DIV sqrt ( 1 SUB v POW 2 DIV c POW 2 ),DIV m_0 sqrt SUB 1 DIV POW v 2 POW c 2,OP_DIV VAR FUNC OP_SUB NUM OP_DIV OP_POW VAR NUM OP_POW VAR NUM,DIV m_0 sqrt SUB <C_0> DIV POW v <C_1> POW c <C_1>,"{'<C_0>': 1.0,'<C_1>': 2.0}"
I.11.19,"['x1','x2','x3','y1','y2','y3']","[(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0)]",x1 MUL y1 ADD x2 MUL y2 ADD x3 MUL y3,ADD ADD MUL x1 y1 MUL x2 y2 MUL x3 y3,OP_ADD OP_ADD OP_MUL VAR VAR OP_MUL VAR VAR OP_MUL VAR VAR,ADD ADD MUL x1 y1 MUL x2 y2 MUL x3 y3,"{}"
I.12.1,"['mu','Nn']","[(1.0,5.0),(1.0,5.0)]",mu MUL Nn,MUL mu Nn,OP_MUL VAR VAR,MUL mu Nn,"{}"
I.12.2,"['q1','q2','epsilon','r']","[(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0)]",q1 MUL q2 MUL r DIV ( 4 MUL pi MUL epsilon MUL r POW 3 ),DIV MUL MUL q1 q2 r MUL MUL MUL 4 pi epsilon POW r 3,OP_DIV OP_MUL OP_MUL VAR VAR VAR OP_MUL OP_MUL OP_MUL NUM CONST VAR OP_POW VAR NUM,DIV MUL MUL q1 q2 r MUL MUL MUL <C_0> pi epsilon POW r <C_1>,"{'<C_0>': 4.0,'<C_1>': 3.0}"
I.12.4,"['q1','epsilon','r']","[(1.0,5.0),(1.0,5.0),(1.0,5.0)]",q1 MUL r DIV ( 4 MUL pi MUL epsilon MUL r POW 3 ),DIV MUL q1 r MUL MUL MUL 4 pi epsilon POW r 3,OP_DIV OP_MUL VAR VAR OP_MUL OP_MUL OP_MUL NUM CONST VAR OP_POW VAR NUM,DIV MUL q1 r MUL MUL MUL <C_0> pi epsilon POW r <C_1>,"{'<C_0>': 4.0,'<C_1>': 3.0}"
I.12.5,"['q2','Ef']","[(1.0,5.0),(1.0,5.0)]",q2 MUL Ef,MUL q2 Ef,OP_MUL VAR VAR,MUL q2 Ef,"{}"
I.12.11,"['q','Ef','B','v','theta']","[(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0)]",q MUL ( Ef ADD B MUL v MUL sin ( theta ) ),MUL q ADD Ef MUL MUL B v sin theta,OP_MUL VAR OP_ADD VAR OP_MUL OP_MUL VAR VAR FUNC VAR,MUL q ADD Ef MUL MUL B v sin theta,"{}"
I.13.4,"['m','v','u','w']","[(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0)]",1 DIV 2 MUL m MUL ( v POW 2 ADD u POW 2 ADD w POW 2 ),MUL MUL DIV 1 2 m ADD ADD POW v 2 POW u 2 POW w 2,OP_MUL OP_MUL OP_DIV NUM NUM VAR OP_ADD OP_ADD OP_POW VAR NUM OP_POW VAR NUM OP_POW VAR NUM,MUL MUL DIV <C_0> <C_1> m ADD ADD POW v <C_1> POW u <C_1> POW w <C_1>,"{'<C_0>': 1.0,'<C_1>': 2.0}"
I.13.12,"['m1','m2','r1','r2','G']","[(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0)]",G MUL m1 MUL m2 MUL ( 1 DIV r2 SUB 1 DIV r1 ),MUL MUL MUL G m1 m2 SUB DIV 1 r2 DIV 1 r1,OP_MUL OP_MUL OP_MUL VAR VAR VAR OP_SUB OP_DIV NUM VAR OP_DIV NUM VAR,MUL MUL MUL G m1 m2 SUB DIV <C_0> r2 DIV <C_0> r1,"{'<C_0>': 1.0}"
I.14.3,"['m','g','z']","[(1.0,5.0),(1.0,5.0),(1.0,5.0)]",m MUL g MUL z,MUL MUL m g z,OP_MUL OP_MUL VAR VAR VAR,MUL MUL m g z,"{}"
I.14.4,"['k_spring','x']","[(1.0,5.0),(1.0,5.0)]",1 DIV 2 MUL k_spring MUL x POW 2,MUL MUL DIV 1 2 k_spring POW x 2,OP_MUL OP_MUL OP_DIV NUM NUM VAR OP_POW VAR NUM,MUL MUL DIV <C_0> <C_1> k_spring POW x <C_1>,"{'<C_0>': 1.0,'<C_1>': 2.0}"
I.15.3x,"['x','u','c','t']","[(5.0,10.0),(1.0,2.0),(3.0,20.0),(1.0,2.0)]",( x SUB u MUL t ) DIV sqrt ( 1 SUB u POW 2 DIV c POW 2 ),DIV SUB x MUL u t sqrt SUB 1 DIV POW u 2 POW c 2,OP_DIV OP_SUB VAR OP_MUL VAR VAR FUNC OP_SUB NUM OP_DIV OP_POW VAR NUM OP_POW VAR NUM,DIV SUB x MUL u t sqrt SUB <C_0> DIV POW u <C_1> POW c <C_1>,"{'<C_0>': 1.0,'<C_1>': 2.0}"
I.15.3t,"['x','c','u','t']","[(1.0,5.0),(3.0,10.0),(1.0,2.0),(1.0,5.0)]",( t SUB u MUL x DIV c POW 2 ) DIV sqrt ( 1 SUB u POW 2 DIV c POW 2 ),DIV SUB t DIV MUL u x POW c 2 sqrt SUB 1 DIV POW u 2 POW c 2,OP_DIV OP_SUB VAR OP_DIV OP_MUL VAR VAR OP_POW VAR NUM FUNC OP_SUB NUM OP_DIV OP_POW VAR NUM OP_POW VAR NUM,DIV SUB t DIV MUL u x POW c <C_0> sqrt SUB <C_1> DIV POW u <C_0> POW c <C_0>,"{'<C_0>': 2.0,'<C_1>': 1.0}"
I.15.10,"['m_0','v','c']","[(1.0,5.0),(1.0,2.0),(3.0,10.0)]",m_0 MUL v DIV sqrt ( 1 SUB v POW 2 DIV c POW 2 ),DIV MUL m_0 v sqrt SUB 1 DIV POW v 2 POW c 2,OP_DIV OP_MUL VAR VAR FUNC OP_SUB NUM OP_DIV OP_POW VAR NUM OP_POW VAR NUM,DIV MUL m_0 v sqrt SUB <C_0> DIV POW v <C_1> POW c <C_1>,"{'<C_0>': 1.0,'<C_1>': 2.0}"
I.16.6,"['c','v','u']","[(1.0,5.0),(1.0,5.0),(1.0,5.0)]",( u ADD v ) DIV ( 1 ADD u MUL v DIV c POW 2 ),DIV ADD u v ADD 1 DIV MUL u v POW c 2,OP_DIV OP_ADD VAR VAR OP_ADD NUM OP_DIV OP_MUL VAR VAR OP_POW VAR NUM,DIV ADD u v ADD <C_0> DIV MUL u v POW c <C_1>,"{'<C_0>': 1.0,'<C_1>': 2.0}"
I.18.4,"['m1','m2','r1','r2']","[(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0)]",( m1 MUL r1 ADD m2 MUL r2 ) DIV ( m1 ADD m2 ),DIV ADD MUL m1 r1 MUL m2 r2 ADD m1 m2,OP_DIV OP_ADD OP_MUL VAR VAR OP_MUL VAR VAR OP_ADD VAR VAR,DIV ADD MUL m1 r1 MUL m2 r2 ADD m1 m2,"{}"
I.18.12,"['r','F','theta']","[(1.0,5.0),(1.0,5.0),(0.0,5.0)]",r MUL F MUL sin ( theta ),MUL MUL r F sin theta,OP_MUL OP_MUL VAR VAR FUNC VAR,MUL MUL r F sin theta,"{}"
