filename,variables,ranges,expression_original,expression_prefix,expression_prefix_masked,token_types,constant_dict
I.6.2a,"['theta']","[(1.0, 3.0)]",exp(-theta**2/2)/sqrt(2*pi),DIV exp DIV NEG POW theta 2 2 sqrt MUL 2 pi,DIV exp DIV NEG POW VAR_1 <C_0> <C_0> sqrt MUL <C_0> pi,OP_DIV FUNC_exp OP_DIV OP_NEG OP_POW VAR_1 NUM NUM FUNC_sqrt OP_MUL NUM CONST_pi,"{'<C_0>': 2.0}"
I.6.2,"['sigma', 'theta']","[(1.0, 3.0), (1.0, 3.0)]",exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma),DIV exp DIV NEG POW DIV theta sigma 2 2 MUL sqrt MUL 2 pi sigma,DIV exp DIV NEG POW DIV VAR_1 VAR_2 <C_0> <C_0> MUL sqrt MUL <C_0> pi VAR_2,OP_DIV FUNC_exp OP_DIV OP_NEG OP_POW OP_DIV VAR_1 VAR_2 NUM NUM OP_MUL FUNC_sqrt OP_MUL NUM CONST_pi VAR_2,"{'<C_0>': 2.0}"
I.6.2b,"['sigma', 'theta', 'theta1']","[(1.0, 3.0), (1.0, 3.0), (1.0, 3.0)]",exp(-((theta-theta1)/sigma)**2/2)/(sqrt(2*pi)*sigma),DIV exp DIV NEG POW DIV SUB theta theta1 sigma 2 2 MUL sqrt MUL 2 pi sigma,DIV exp DIV NEG POW DIV SUB VAR_1 VAR_2 VAR_3 <C_0> <C_0> MUL sqrt MUL <C_0> pi VAR_3,OP_DIV FUNC_exp OP_DIV OP_NEG OP_POW OP_DIV OP_SUB VAR_1 VAR_2 VAR_3 NUM NUM OP_MUL FUNC_sqrt OP_MUL NUM CONST_pi VAR_3,"{'<C_0>': 2.0}"
I.8.14,"['x1', 'x2', 'y1', 'y2']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",sqrt((x2-x1)**2+(y2-y1)**2),sqrt ADD POW SUB x2 x1 2 POW SUB y2 y1 2,sqrt ADD POW SUB VAR_1 VAR_2 <C_0> POW SUB VAR_3 VAR_4 <C_0>,FUNC_sqrt OP_ADD OP_POW OP_SUB VAR_1 VAR_2 NUM OP_POW OP_SUB VAR_3 VAR_4 NUM,"{'<C_0>': 2.0}"
I.9.18,"['m1', 'm2', 'G', 'x1', 'x2', 'y1', 'y2', 'z1', 'z2']","[(1.0, 2.0), (1.0, 2.0), (1.0, 2.0), (3.0, 4.0), (1.0, 2.0), (3.0, 4.0), (1.0, 2.0), (3.0, 4.0), (1.0, 2.0)]",G*m1*m2/((x2-x1)**2+(y2-y1)**2+(z2-z1)**2),DIV MUL MUL G m1 m2 ADD ADD POW SUB x2 x1 2 POW SUB y2 y1 2 POW SUB z2 z1 2,DIV MUL MUL VAR_1 VAR_2 VAR_3 ADD ADD POW SUB VAR_4 VAR_5 <C_0> POW SUB VAR_6 VAR_7 <C_0> POW SUB VAR_8 VAR_9 <C_0>,OP_DIV OP_MUL OP_MUL VAR_1 VAR_2 VAR_3 OP_ADD OP_ADD OP_POW OP_SUB VAR_4 VAR_5 NUM OP_POW OP_SUB VAR_6 VAR_7 NUM OP_POW OP_SUB VAR_8 VAR_9 NUM,"{'<C_0>': 2.0}"
I.10.7,"['m_0', 'v', 'c']","[(1.0, 5.0), (1.0, 2.0), (3.0, 10.0)]",m_0/sqrt(1-v**2/c**2),DIV m_0 sqrt SUB 1 DIV POW v 2 POW c 2,DIV VAR_1 sqrt SUB <C_0> DIV POW VAR_2 <C_1> POW VAR_3 <C_1>,OP_DIV VAR_1 FUNC_sqrt OP_SUB NUM OP_DIV OP_POW VAR_2 NUM OP_POW VAR_3 NUM,"{'<C_0>': 1.0, '<C_1>': 2.0}"
I.11.19,"['x1', 'x2', 'x3', 'y1', 'y2', 'y3']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",x1*y1+x2*y2+x3*y3,ADD ADD MUL x1 y1 MUL x2 y2 MUL x3 y3,ADD ADD MUL VAR_1 VAR_2 MUL VAR_3 VAR_4 MUL VAR_5 VAR_6,OP_ADD OP_ADD OP_MUL VAR_1 VAR_2 OP_MUL VAR_3 VAR_4 OP_MUL VAR_5 VAR_6,"{}"
I.12.1,"['mu', 'Nn']","[(1.0, 5.0), (1.0, 5.0)]",mu*Nn,MUL mu Nn,MUL VAR_1 VAR_2,OP_MUL VAR_1 VAR_2,"{}"
I.12.2,"['q1', 'q2', 'epsilon', 'r']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",q1*q2*r/(4*pi*epsilon*r**3),DIV MUL MUL q1 q2 r MUL MUL MUL 4 pi epsilon POW r 3,DIV MUL MUL VAR_1 VAR_2 VAR_3 MUL MUL MUL <C_0> pi VAR_4 POW VAR_3 <C_1>,OP_DIV OP_MUL OP_MUL VAR_1 VAR_2 VAR_3 OP_MUL OP_MUL OP_MUL NUM CONST_pi VAR_4 OP_POW VAR_3 NUM,"{'<C_0>': 4.0, '<C_1>': 3.0}"
I.12.4,"['q1', 'epsilon', 'r']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",q1*r/(4*pi*epsilon*r**3),DIV MUL q1 r MUL MUL MUL 4 pi epsilon POW r 3,DIV MUL VAR_1 VAR_2 MUL MUL MUL <C_0> pi VAR_3 POW VAR_2 <C_1>,OP_DIV OP_MUL VAR_1 VAR_2 OP_MUL OP_MUL OP_MUL NUM CONST_pi VAR_3 OP_POW VAR_2 NUM,"{'<C_0>': 4.0, '<C_1>': 3.0}"
